id,author,description,guid,to,likecount,link,pubdate,replycount,title,authorChannelUrl,
117,"AAA","Selfish values ? A person works to make a long term profit (in a sense) is that selfish ? How much money are YOU making ? Not how much is allowable","Ugy1JuEcZWdxNE3opBR4AaABAg","",0,"https://www.youtube.com/watch?v=O-tJNuHqHW8&t=38s&ab_channel=PragerU&lc=Ugy1JuEcZWdxNE3opBR4AaABAg","2021-10-22 10:59:31",1,"Selfish values ? A person works to make a long term profit (in a sense) is that selfish ? How much money are YOU making ? Not how much is allowable","http://www.youtube.com/channel/UCLt0EdWyHybAz_X9GGyIiEg",
118,"𝘿!𝙘𝙠 Riding ǤƗяℓ Madison","I got out of stocks entirely, the valuations are to high and people drive companies that haven\'t made a profit in years to insane valuations, at some point the bubble is gonna pop hard","Ugy1JuEcZWdxNE3opBR4AaABAg.9TnxZHg2-ri9U7KDV5JVkk","AAA",0,"https://www.youtube.com/watch?v=O-tJNuHqHW8&t=38s&ab_channel=PragerU&lc=Ugy1JuEcZWdxNE3opBR4AaABAg.9TnxZHg2-ri9U7KDV5JVkk","2021-10-30 08:51:04",0,"I got out of stocks entirely, the valuations are to high and people drive companies that haven\'t made a profit in years to insane valuations, at some point the bubble is gonna pop hard","http://www.youtube.com/channel/UC1wX3iPhV0nelo_Zv1A46pQ",
119,"Thermal Reboot","ESG is a form of collusion, that\'s illegal in the USA.","UgxlcLyBL2Nq5C94vup4AaABAg","",0,"https://www.youtube.com/watch?v=O-tJNuHqHW8&t=38s&ab_channel=PragerU&lc=UgxlcLyBL2Nq5C94vup4AaABAg","2021-10-22 10:51:02",0,"ESG is a form of collusion, that\'s illegal in the USA.","http://www.youtube.com/channel/UCTbKXZ3S2uzS5VdKigczAsQ",
120,"Akshay Bhagat","Wait on one hand you hate big tech for being woke and making billions each year while on the other hand you are saying they are going broke! Pick a side?","UgzNDXfxz5hywY7816d4AaABAg","",0,"https://www.youtube.com/watch?v=O-tJNuHqHW8&t=38s&ab_channel=PragerU&lc=UgzNDXfxz5hywY7816d4AaABAg","2021-10-22 09:50:43",0,"Wait on one hand you hate big tech for being woke and making billions each year while on the other hand you are saying they are going broke! Pick a side?","http://www.youtube.com/channel/UCSSVbjPGiMzgQRRbkuxWrKg",
121,"Paul Hudgens","Puzder doesn’t get it. The American Left rabidly opposes anything - and everything - that a free enterprise system might create. From their point of view, if America needed a Facebook, The Government would create it. If America needed an Amazon, The Government would create it. Anything not created by The Government means that somebody is going to get rich, which they see as profoundly evil.","UgxPbtJxh_KSVChpPMJ4AaABAg","",0,"https://www.youtube.com/watch?v=O-tJNuHqHW8&t=38s&ab_channel=PragerU&lc=UgxPbtJxh_KSVChpPMJ4AaABAg","2021-10-22 09:49:15",0,"Puzder doesn’t get it. The American Left rabidly opposes anything - and everything - that a free enterprise system might create. From their point of view, if America needed a Facebook, The Government would create it. If America needed an Amazon, The Government would create it. Anything not created by The Government means that somebody is going to get rich, which they see as profoundly evil.","http://www.youtube.com/channel/UCOO464eQYNO0OPbt8iJG3Nw",
122,"Mark Poulton","ESG sounds like the liberals in the book Atlas Shrugged.","UgyXz29c4Jj-vBS_nsx4AaABAg","",0,"https://www.youtube.com/watch?v=O-tJNuHqHW8&t=38s&ab_channel=PragerU&lc=UgyXz29c4Jj-vBS_nsx4AaABAg","2021-10-22 09:34:35",0,"ESG sounds like the liberals in the book Atlas Shrugged.","http://www.youtube.com/channel/UCiwbWhCmuRJEAusWRsmpAuw",
123,"Denise Boertje","So, let me see if I got this: I can theoretically borrow money for some woke-ass reason like “I’m collecting all the drinking straws and cutting them into little pieces, then hauling them to the recycling, so a seagull won’t eat a straw and die”? And because this is such a worthy cause, I don’t REALLY have to pay it back, right? Because the lender doesn’t really NEED my loan to be repaid, they only need loans to evil, corrupt for-profit companies repaid, right? Riiiiiight. Glad we got this straightened out….","UgwpGvw94Pyv7shVOGt4AaABAg","",0,"https://www.youtube.com/watch?v=O-tJNuHqHW8&t=38s&ab_channel=PragerU&lc=UgwpGvw94Pyv7shVOGt4AaABAg","2021-10-22 07:56:46",0,"So, let me see if I got this: I can theoretically borrow money for some woke-ass reason like “I’m collecting all the drinking straws and cutting them into little pieces, then hauling them to the recycling, so a seagull won’t eat a straw and die”? And because this is such a worthy cause, I don’t REALLY have to pay it back, right? Because the lender doesn’t really NEED my loan to be repaid, they only need loans to evil, corrupt for-profit companies repaid, right? Riiiiiight. Glad we got this straightened out….","http://www.youtube.com/channel/UCNoWoBnA9z8DI3c1JnCTLKA",
124,"bigmacattk","I rarely disagree with these video, but I have one gripe. He emphasizes “short term profits”. Maybe he mis-spoke, but short term profit is just as bad as ESG. Companies need to focus on “long term profits”. Seen many of these “activist traders” buy out companies, strip them apart and burn their reputation to the ground. They cash out when crap is no longer sustainable, and leave someone else to clean up the mess they caused. A better example on long term growth is amazon, and uber. They were both very unprofitable until they were. Now they seem unstoppable.","UgxCa9-wsvZnmXxQKBp4AaABAg","",0,"https://www.youtube.com/watch?v=O-tJNuHqHW8&t=38s&ab_channel=PragerU&lc=UgxCa9-wsvZnmXxQKBp4AaABAg","2021-10-22 07:02:58",0,"I rarely disagree with these video, but I have one gripe. He emphasizes “short term profits”. Maybe he mis-spoke, but short term profit is just as bad as ESG. Companies need to focus on “long term profits”. Seen many of these “activist traders” buy out companies, strip them apart and burn their reputation to the ground. They cash out when crap is no longer sustainable, and leave someone else to clean up the mess they caused. A better example on long term growth is amazon, and uber. They were both very unprofitable until they were. Now they seem unstoppable.","http://www.youtube.com/channel/UCQM4p4K-LzKd4BKJd9n1whA",
125,"John Vincent Olmos","That explains why almost everything has woke garbage crowbared to it.","UgxBucXYe62wRC6KD8N4AaABAg","",0,"https://www.youtube.com/watch?v=O-tJNuHqHW8&t=38s&ab_channel=PragerU&lc=UgxBucXYe62wRC6KD8N4AaABAg","2021-10-22 06:33:39",0,"That explains why almost everything has woke garbage crowbared to it.","http://www.youtube.com/channel/UCpZd92T--IUOG4qTmLt8sJw",
126,"Hrundi Bakshi","*""BY 2030 YOU WILL OWN NOTHING AND YOU WILL BE HAPPY!"" ~ Klaus Schwab* Under Biden\'s Buddy, Larry Fink, BLACKROCK is buying-up entire neighborhoods across the country, paying well over asking price, driving house prices up so wildly that first-time home-buyers cannot afford them. BUT DON\'T WORRY! Fink and Blackrock are RENTING those houses to the very families they priced out of the market.","Ugywy8MknzNWS_h19BF4AaABAg","",0,"https://www.youtube.com/watch?v=O-tJNuHqHW8&t=38s&ab_channel=PragerU&lc=Ugywy8MknzNWS_h19BF4AaABAg","2021-10-22 06:33:02",1,"*""BY 2030 YOU WILL OWN NOTHING AND YOU WILL BE HAPPY!"" ~ Klaus Schwab* Under Biden\'s Buddy, Larry Fink, BLACKROCK is buying-up entire neighborhoods across the country, paying well over asking price, driving house prices up so wildly that first-time home-buyers cannot afford them. BUT DON\'T WORRY! Fink and Blackrock are RENTING those houses to the very families they priced out of the market.","http://www.youtube.com/channel/UCgERRCbfofVKU7tLscOEWmQ",
127,"тαρ мє αи∂ ѕєχ ωιтн мє Camila","STEP 1. Start a self proclaimed ESG Watchdog Organization. STEP 2. Secretly invest in certain companies. STEP 3. Make claims through Watchdog Organization that they are the BEST MOST WOKEST EVAR. STEP 4. Wait for morons... I mean socially conscience investors to invest. STEP 5. Sell for big PROFITS!","Ugywy8MknzNWS_h19BF4AaABAg.9TnU3ZgMB_Z9UL-qL7UAay","Hrundi Bakshi",0,"https://www.youtube.com/watch?v=O-tJNuHqHW8&t=38s&ab_channel=PragerU&lc=Ugywy8MknzNWS_h19BF4AaABAg.9TnU3ZgMB_Z9UL-qL7UAay","2021-11-04 16:22:22",0,"STEP 1. Start a self proclaimed ESG Watchdog Organization. STEP 2. Secretly invest in certain companies. STEP 3. Make claims through Watchdog Organization that they are the BEST MOST WOKEST EVAR. STEP 4. Wait for morons... I mean socially conscience investors to invest. STEP 5. Sell for big PROFITS!","http://www.youtube.com/channel/UCWeyXwZ1jrZ9-MKPDc9AEJQ",
128,"Aloysius Prasetyo","Go woke go broke","UgyK82igKoNLFD17XAR4AaABAg","",0,"https://www.youtube.com/watch?v=O-tJNuHqHW8&t=38s&ab_channel=PragerU&lc=UgyK82igKoNLFD17XAR4AaABAg","2021-10-22 05:32:58",0,"Go woke go broke","http://www.youtube.com/channel/UC5n5hS_hrfXCmb9vdA4_7Qw",
129,"Bob Coleman","Schwabb is one of the elites pushing Agenda 2030 where we will own nothing and rent everything. Yet I have not heard from them on how we will continually have an income to constantly spend to support his model.","UgwSrq03ifRiGTnsMB14AaABAg","",0,"https://www.youtube.com/watch?v=O-tJNuHqHW8&t=38s&ab_channel=PragerU&lc=UgwSrq03ifRiGTnsMB14AaABAg","2021-10-22 05:29:48",0,"Schwabb is one of the elites pushing Agenda 2030 where we will own nothing and rent everything. Yet I have not heard from them on how we will continually have an income to constantly spend to support his model.","http://www.youtube.com/channel/UC03ocEY8Zu1n1hM07RrrouQ",
130,"Adam Zouko","They will take everything away from you, and all your money from your bank account, while they will keep on living the big life, you will have no choice but to submit to them, you will own nothing and you will NOT be happy. Everyone at the bottom except thoses who are friends with the big tech ogliarques.","UgyNic_fWHzCwxP1-X54AaABAg","",0,"https://www.youtube.com/watch?v=O-tJNuHqHW8&t=38s&ab_channel=PragerU&lc=UgyNic_fWHzCwxP1-X54AaABAg","2021-10-22 05:21:00",0,"They will take everything away from you, and all your money from your bank account, while they will keep on living the big life, you will have no choice but to submit to them, you will own nothing and you will NOT be happy. Everyone at the bottom except thoses who are friends with the big tech ogliarques.","http://www.youtube.com/channel/UCb8BYbJT0hgk8-op_QuBeHQ",
131,"Jeff P","I disagree with this one. A capitalist calling capitalism conscientious is like muslims calling islam the religion of peace. Reality speaks different. And nothing wrong with an honest profit, but a lot of profit is made at the expense of health, environment and climate. In the video is mentioned that a profitable company takes care of their employees. Reality is that when supply of workforce exceeds demands, all employees will get exploited. When demand is higher than supply, companies suddenly care about retention and offer a good salary and other secondary benefits. By far I prefer capitalism over socialism, but this washing of capitalism and making it better than it is. Capitalism without philanthropy is destructive","Ugxj-HIZ6dxEzuJKScN4AaABAg","",0,"https://www.youtube.com/watch?v=O-tJNuHqHW8&t=38s&ab_channel=PragerU&lc=Ugxj-HIZ6dxEzuJKScN4AaABAg","2021-10-22 04:12:07",0,"I disagree with this one. A capitalist calling capitalism conscientious is like muslims calling islam the religion of peace. Reality speaks different. And nothing wrong with an honest profit, but a lot of profit is made at the expense of health, environment and climate. In the video is mentioned that a profitable company takes care of their employees. Reality is that when supply of workforce exceeds demands, all employees will get exploited. When demand is higher than supply, companies suddenly care about retention and offer a good salary and other secondary benefits. By far I prefer capitalism over socialism, but this washing of capitalism and making it better than it is. Capitalism without philanthropy is destructive","http://www.youtube.com/channel/UCQ-BGe7cQb4Grx41G_4VGIQ",
132,"1Time Slime","BLACK rock? Is that any connection to the BLACK cube in Mecca where Muslims parade around a giant cube that contains the original PIECE of black space rock that’s THEYRE worshipping. Black Rock….sounds so…hmmm…well it’s self explanatory","UgyU1xd8HamLMO7q1LB4AaABAg","",0,"https://www.youtube.com/watch?v=O-tJNuHqHW8&t=38s&ab_channel=PragerU&lc=UgyU1xd8HamLMO7q1LB4AaABAg","2021-10-22 04:00:55",0,"BLACK rock? Is that any connection to the BLACK cube in Mecca where Muslims parade around a giant cube that contains the original PIECE of black space rock that’s THEYRE worshipping. Black Rock….sounds so…hmmm…well it’s self explanatory","http://www.youtube.com/channel/UC5XbQpu_tIzx-jRTx-hXflg",
133,"M C","Oh Klaus. What a Schwab","Ugw24AZC6kuTlxC1j9p4AaABAg","",0,"https://www.youtube.com/watch?v=O-tJNuHqHW8&t=38s&ab_channel=PragerU&lc=Ugw24AZC6kuTlxC1j9p4AaABAg","2021-10-22 03:21:38",0,"Oh Klaus. What a Schwab","http://www.youtube.com/channel/UC9k-bpWr38EZJDL_S6TjgNA",
134,"Maverick Doe","""You must offer safe working conditions at a reasonable wage"". Really? How do you explain the exploitation of workers that lead to the deaths of factory workers due to poor working conditions? How do you explain the rise of Unions to combat the tyranny of unscrupulous employers decades ago? Without unions, would we have a 40-hr standard work week? And if it weren\'t for the tragedies of people dying in factories due to poor working conditions, would there even be a need for OSHA? Profit motivation is good, but left unchecked, it can be quite bad.","UgwFxuhWc256BONMjC54AaABAg","",0,"https://www.youtube.com/watch?v=O-tJNuHqHW8&t=38s&ab_channel=PragerU&lc=UgwFxuhWc256BONMjC54AaABAg","2021-10-22 02:57:17",0,"""You must offer safe working conditions at a reasonable wage"". Really? How do you explain the exploitation of workers that lead to the deaths of factory workers due to poor working conditions? How do you explain the rise of Unions to combat the tyranny of unscrupulous employers decades ago? Without unions, would we have a 40-hr standard work week? And if it weren\'t for the tragedies of people dying in factories due to poor working conditions, would there even be a need for OSHA? Profit motivation is good, but left unchecked, it can be quite bad.","http://www.youtube.com/channel/UCAy5ZeoCxvLdznJa29syfHQ",
135,"MoparsRus","wonder what hunter bidens ESG score is?","UgzeI-_ETppzfV_TaXF4AaABAg","",0,"https://www.youtube.com/watch?v=O-tJNuHqHW8&t=38s&ab_channel=PragerU&lc=UgzeI-_ETppzfV_TaXF4AaABAg","2021-10-22 00:31:38",0,"wonder what hunter bidens ESG score is?","http://www.youtube.com/channel/UCa7gYA5u0ge8F9Kk1BDUjvw",
136,"Luke n Caro Wittig","Best explanation on what\'s really going on! This is whats driving all this madness.","UgzqPs6vUnOY71ycW6Z4AaABAg","",1,"https://www.youtube.com/watch?v=O-tJNuHqHW8&t=38s&ab_channel=PragerU&lc=UgzqPs6vUnOY71ycW6Z4AaABAg","2021-10-21 23:01:08",0,"Best explanation on what\'s really going on! This is whats driving all this madness.","http://www.youtube.com/channel/UC-EnFlELPIk7sUNufD_-iuA",
137,"Vlad Impaler","Mostly it is a way for them to stick your retirement funds in underperforming trash while keeping the good stuff for themselves.","UgwxykyQ-Oa54FbDWnF4AaABAg","",0,"https://www.youtube.com/watch?v=O-tJNuHqHW8&t=38s&ab_channel=PragerU&lc=UgwxykyQ-Oa54FbDWnF4AaABAg","2021-10-21 22:43:08",0,"Mostly it is a way for them to stick your retirement funds in underperforming trash while keeping the good stuff for themselves.","http://www.youtube.com/channel/UCNEt8PQ8nITwzbIGBdyytiw",
138,"Oliver Fasola","I heard of these a few months ago, I want my stocks to have as low of a esg score as possible (I’m a 20 year old Canadian)","UgwqTVy0MuQvTCSom1d4AaABAg","",0,"https://www.youtube.com/watch?v=O-tJNuHqHW8&t=38s&ab_channel=PragerU&lc=UgwqTVy0MuQvTCSom1d4AaABAg","2021-10-21 22:38:08",1,"I heard of these a few months ago, I want my stocks to have as low of a esg score as possible (I’m a 20 year old Canadian)","http://www.youtube.com/channel/UCsxNiFGylpWeT7XbqBphz0w",
139,"тαρ мє αи∂ ѕєχ ωιтн мє Emilia","You could never build all of the things that you have. Appreciate the civilization that has provided you with so much.","UgwqTVy0MuQvTCSom1d4AaABAg.9TmciDdKYOL9UOYSokH9Xj","Oliver Fasola",0,"https://www.youtube.com/watch?v=O-tJNuHqHW8&t=38s&ab_channel=PragerU&lc=UgwqTVy0MuQvTCSom1d4AaABAg.9TmciDdKYOL9UOYSokH9Xj","2021-11-06 01:22:35",0,"You could never build all of the things that you have. Appreciate the civilization that has provided you with so much.","http://www.youtube.com/channel/UCeLYH9JX0UsM1Vw8OfIGwrg",
140,"bunberrier","Fact: Greed works.","UgyCyP-yvm0PAUS0RpF4AaABAg","",0,"https://www.youtube.com/watch?v=O-tJNuHqHW8&t=38s&ab_channel=PragerU&lc=UgyCyP-yvm0PAUS0RpF4AaABAg","2021-10-21 22:34:26",0,"Fact: Greed works.","http://www.youtube.com/channel/UCH6qCh_N1YY-Bm42y00ty6Q",
141,"Ruvim GD","Common sense is not common anymore","Ugx3TkbEKb2cnYWDcIx4AaABAg","",0,"https://www.youtube.com/watch?v=O-tJNuHqHW8&t=38s&ab_channel=PragerU&lc=Ugx3TkbEKb2cnYWDcIx4AaABAg","2021-10-21 21:41:42",0,"Common sense is not common anymore","http://www.youtube.com/channel/UCBKOkiC39jM-HOMp6B-awjQ",
142,"RyanKC","They had to rename Communism, ESG.","Ugzn4sHUiw2IafM2h_h4AaABAg","",0,"https://www.youtube.com/watch?v=O-tJNuHqHW8&t=38s&ab_channel=PragerU&lc=Ugzn4sHUiw2IafM2h_h4AaABAg","2021-10-21 21:38:14",1,"They had to rename Communism, ESG.","http://www.youtube.com/channel/UCCi3EtvUrTrJGb2sqeGCleg",
143,"F-*U-C*K ME - CHECK MY PROFILE Mila","Every day I feel more and more alone in seeing that the emperor isn\'t wearing clothes: Are these corporations so lacking in self-awareness, so divorced from reality and the human experience, that they don\'t understand how creepy it is when a corporation mistakes themselves for a government? Let\'s ignore the question of just how valid the pseudo-moral values behind E, S and G are -- why is it a corporation\'s job to reshape the world? Isn\'t that exactly the sort of dystopia that liberals said would happen if corpos weren\'t reined in, because *it\'s a bad thing*?","Ugzn4sHUiw2IafM2h_h4AaABAg.9TmWrZyef1o9U7FegajEES","RyanKC",1,"https://www.youtube.com/watch?v=O-tJNuHqHW8&t=38s&ab_channel=PragerU&lc=Ugzn4sHUiw2IafM2h_h4AaABAg.9TmWrZyef1o9U7FegajEES","2021-10-30 08:11:13",0,"Every day I feel more and more alone in seeing that the emperor isn\'t wearing clothes: Are these corporations so lacking in self-awareness, so divorced from reality and the human experience, that they don\'t understand how creepy it is when a corporation mistakes themselves for a government? Let\'s ignore the question of just how valid the pseudo-moral values behind E, S and G are -- why is it a corporation\'s job to reshape the world? Isn\'t that exactly the sort of dystopia that liberals said would happen if corpos weren\'t reined in, because *it\'s a bad thing*?","http://www.youtube.com/channel/UCxjRMhnEFum3db3Kgqum0zA",
144,"Michael Connor","Solar Panels and Wind Turbines are ESG on steroids. Further they are a fraud and actually do true harm to plant and wildlife.","UgwgPrWEs_ioRPwn0ch4AaABAg","",0,"https://www.youtube.com/watch?v=O-tJNuHqHW8&t=38s&ab_channel=PragerU&lc=UgwgPrWEs_ioRPwn0ch4AaABAg","2021-10-21 21:31:34",0,"Solar Panels and Wind Turbines are ESG on steroids. Further they are a fraud and actually do true harm to plant and wildlife.","http://www.youtube.com/channel/UC5VLBH3M7qrHHO7Bp35nMEQ",
145,"ballybunion9","As my dad used to say, ""A fool and his money are soon parted."" 😁","UgwzM89gERc0D3X9BDh4AaABAg","",0,"https://www.youtube.com/watch?v=O-tJNuHqHW8&t=38s&ab_channel=PragerU&lc=UgwzM89gERc0D3X9BDh4AaABAg","2021-10-21 21:30:40",0,"As my dad used to say, ""A fool and his money are soon parted."" 😁","http://www.youtube.com/channel/UCHg_-bu5OdwQNmGE3EfH5Eg",
146,"R_B","And what this attempt to monitor every transaction over $600, or even $10, 000 is an attempt for the Federal Govt. to pick which companies will be competitive, and which one\'s won\'t. This monitoring idea is simply to allow the IRS to pick winners and losers. That\'s all it is.","UgwYKISfXBgfKdqvl7B4AaABAg","",0,"https://www.youtube.com/watch?v=O-tJNuHqHW8&t=38s&ab_channel=PragerU&lc=UgwYKISfXBgfKdqvl7B4AaABAg","2021-10-21 20:08:35",0,"And what this attempt to monitor every transaction over $600, or even $10, 000 is an attempt for the Federal Govt. to pick which companies will be competitive, and which one\'s won\'t. This monitoring idea is simply to allow the IRS to pick winners and losers. That\'s all it is.","http://www.youtube.com/channel/UCmNKyZddL02zy2fPdE53iAA",
147,"Pc Doc","at 1:55 ""The Genius of capitalism gave us the slave trade and cigarettes that kill . Now how was either of that \'good\' for American Society again ?","UgxYxGDw_CW0S83LkK54AaABAg","",0,"https://www.youtube.com/watch?v=O-tJNuHqHW8&t=38s&ab_channel=PragerU&lc=UgxYxGDw_CW0S83LkK54AaABAg","2021-10-21 20:07:20",0,"at 1:55 ""The Genius of capitalism gave us the slave trade and cigarettes that kill . Now how was either of that \'good\' for American Society again ?","http://www.youtube.com/channel/UCh1cwgZ-LY0GCTcElPH7ZWg",
148,"R_B","""investing in companies that offer products and services that people want or need"" is perhaps the most concise guide to creating YOUR wealth ever conceived.","Ugz7bHL-sI2oQB42q4t4AaABAg","",0,"https://www.youtube.com/watch?v=O-tJNuHqHW8&t=38s&ab_channel=PragerU&lc=Ugz7bHL-sI2oQB42q4t4AaABAg","2021-10-21 20:04:44",0,"""investing in companies that offer products and services that people want or need"" is perhaps the most concise guide to creating YOUR wealth ever conceived.","http://www.youtube.com/channel/UCmNKyZddL02zy2fPdE53iAA",
149,"OH CAM","Green Neo Nazis","UgyU1bll_R9gKGyPKWx4AaABAg","",0,"https://www.youtube.com/watch?v=O-tJNuHqHW8&t=38s&ab_channel=PragerU&lc=UgyU1bll_R9gKGyPKWx4AaABAg","2021-10-21 20:03:39",0,"Green Neo Nazis","http://www.youtube.com/channel/UCLzmBF2gZRjz7YCFyvAjuHg",
150,"Algernon Calydon","It goes beyond that to HR of companies. Got fired for not being apologetic and remorseful, from a mining company in Alaska. Somebody else did something they shouldn\'t and I was on that crew and so must have guilty. I was supposed to have done something to help the poor offender. But instead I said I worked there for the money, to work, earn the money and go home for my week off. They said I was selfish. I guess i was, I should have left home for two weeks at a time to work in a remote man camp where one works, sleeps, eat, works, eat sleeps, works, etc. Guess I should have been there to help others.","Ugw2YTT2osR5I0uu9VF4AaABAg","",0,"https://www.youtube.com/watch?v=O-tJNuHqHW8&t=38s&ab_channel=PragerU&lc=Ugw2YTT2osR5I0uu9VF4AaABAg","2021-10-21 19:33:36",0,"It goes beyond that to HR of companies. Got fired for not being apologetic and remorseful, from a mining company in Alaska. Somebody else did something they shouldn\'t and I was on that crew and so must have guilty. I was supposed to have done something to help the poor offender. But instead I said I worked there for the money, to work, earn the money and go home for my week off. They said I was selfish. I guess i was, I should have left home for two weeks at a time to work in a remote man camp where one works, sleeps, eat, works, eat sleeps, works, etc. Guess I should have been there to help others.","http://www.youtube.com/channel/UCzO5Ka4S6OBs1ulLxHXGckw",
151,"shadowscreamer1","This is why I love crypto. No one cares about any esg bs","UgwpVhd_cRFPHlUK3AF4AaABAg","",0,"https://www.youtube.com/watch?v=O-tJNuHqHW8&t=38s&ab_channel=PragerU&lc=UgwpVhd_cRFPHlUK3AF4AaABAg","2021-10-21 19:23:31",0,"This is why I love crypto. No one cares about any esg bs","http://www.youtube.com/channel/UCagEVczGkolXhFnUe4oC1Sg",
152,"Mr Rivera","ESGs are a cancer","UgwCDmmAeFF_n4Rs64d4AaABAg","",0,"https://www.youtube.com/watch?v=O-tJNuHqHW8&t=38s&ab_channel=PragerU&lc=UgwCDmmAeFF_n4Rs64d4AaABAg","2021-10-21 19:18:40",0,"ESGs are a cancer","http://www.youtube.com/channel/UCgaR6Mjrn_PPKIaIlaaEBJA",
153,"bill notice","I was thrown out of my investment club because of ESG. I took my cash and bought Dow Chemical at 31.54 it is over 70 now! Love that dividend.","UgwMSEdfITBNKoEul8p4AaABAg","",0,"https://www.youtube.com/watch?v=O-tJNuHqHW8&t=38s&ab_channel=PragerU&lc=UgwMSEdfITBNKoEul8p4AaABAg","2021-10-21 16:38:56",0,"I was thrown out of my investment club because of ESG. I took my cash and bought Dow Chemical at 31.54 it is over 70 now! Love that dividend.","http://www.youtube.com/channel/UChHVXPa-TorcLnXi1IXhuBw",
154,"Trileche de la Rosa","is funny how something cool and socialy nice ask for my money.","Ugy2PSTPAzm2n0yOaI14AaABAg","",0,"https://www.youtube.com/watch?v=O-tJNuHqHW8&t=38s&ab_channel=PragerU&lc=Ugy2PSTPAzm2n0yOaI14AaABAg","2021-10-21 15:25:44",0,"is funny how something cool and socialy nice ask for my money.","http://www.youtube.com/channel/UCu9_yCUqbE-eY0PHUU1OZag",
155,"Paul Wilczynski","Please do a video of what businesses that go by this esg, so I don\'t invest a dime in them.","UgxutmOba_tecIKFOSR4AaABAg","",0,"https://www.youtube.com/watch?v=O-tJNuHqHW8&t=38s&ab_channel=PragerU&lc=UgxutmOba_tecIKFOSR4AaABAg","2021-10-21 15:22:25",0,"Please do a video of what businesses that go by this esg, so I don\'t invest a dime in them.","http://www.youtube.com/channel/UClAfE4amzOHBX7ccyfv64dg",
156,"Freedom Works","Freedom is capitalism Capitalism is Freedom","UgwV-yMycFCByF74GWZ4AaABAg","",0,"https://www.youtube.com/watch?v=O-tJNuHqHW8&t=38s&ab_channel=PragerU&lc=UgwV-yMycFCByF74GWZ4AaABAg","2021-10-21 15:17:22",1,"Freedom is capitalism Capitalism is Freedom","http://www.youtube.com/channel/UCPkNzW7jjc5GxvAV16jIWuw",
157,"Rich B-3-43","Both being destroyed by racist democrats.","UgwV-yMycFCByF74GWZ4AaABAg.9TlqGwlLE_z9TmVJS_GM-f","Freedom Works",1,"https://www.youtube.com/watch?v=O-tJNuHqHW8&t=38s&ab_channel=PragerU&lc=UgwV-yMycFCByF74GWZ4AaABAg.9TlqGwlLE_z9TmVJS_GM-f","2021-10-21 21:24:42",0,"Both being destroyed by racist democrats.","http://www.youtube.com/channel/UCJ6VIDuc0d9hXQQgxvHhqxg",
158,"Arturius Pendragon","ESG is just another manifestation of a CCP-style social credit score system. It is a key tool of control for a more totalitarian, top-down economic and social structure. The goal is the destruction of personal liberty for the benefit of the controlling elite.","Ugzz29Ma2upxlyu0LmV4AaABAg","",0,"https://www.youtube.com/watch?v=O-tJNuHqHW8&t=38s&ab_channel=PragerU&lc=Ugzz29Ma2upxlyu0LmV4AaABAg","2021-10-21 14:53:54",1,"ESG is just another manifestation of a CCP-style social credit score system. It is a key tool of control for a more totalitarian, top-down economic and social structure. The goal is the destruction of personal liberty for the benefit of the controlling elite.","http://www.youtube.com/channel/UCL3YxrSN94uV_3gY_vI1Xvw",
159,"Rich B-3-43","Going well according to the democrat plan. Just what the folks voted for.","Ugzz29Ma2upxlyu0LmV4AaABAg.9Tlna8sm_Rk9TmVSo1rGO1","Arturius Pendragon",0,"https://www.youtube.com/watch?v=O-tJNuHqHW8&t=38s&ab_channel=PragerU&lc=Ugzz29Ma2upxlyu0LmV4AaABAg.9Tlna8sm_Rk9TmVSo1rGO1","2021-10-21 21:25:59",0,"Going well according to the democrat plan. Just what the folks voted for.","http://www.youtube.com/channel/UCJ6VIDuc0d9hXQQgxvHhqxg",
160,"BumblebeeAnut","The company I work for has gone head long into ESG, and boy have they become woke!!!","Ugydj8KAVQETRK8roCl4AaABAg","",0,"https://www.youtube.com/watch?v=O-tJNuHqHW8&t=38s&ab_channel=PragerU&lc=Ugydj8KAVQETRK8roCl4AaABAg","2021-10-21 14:40:42",0,"The company I work for has gone head long into ESG, and boy have they become woke!!!","http://www.youtube.com/channel/UCz32DnV0ot56J9h4lSOo05Q",
161,"Zbynek Kolacek","World goes mad","UgxFcShmFJBCT9Kl-3l4AaABAg","",0,"https://www.youtube.com/watch?v=O-tJNuHqHW8&t=38s&ab_channel=PragerU&lc=UgxFcShmFJBCT9Kl-3l4AaABAg","2021-10-21 14:34:13",0,"World goes mad","http://www.youtube.com/channel/UCXVLMtJKwwzTWFs-MIRJdkg",
162,"Ben Royal","Boy, the rich are really turning on the spigot.","UgxkObrkCakYU2saPxN4AaABAg","",0,"https://www.youtube.com/watch?v=O-tJNuHqHW8&t=38s&ab_channel=PragerU&lc=UgxkObrkCakYU2saPxN4AaABAg","2021-10-21 14:33:53",0,"Boy, the rich are really turning on the spigot.","http://www.youtube.com/channel/UC5gQyAcjEzAcl7uG988nO4A",
